hyperparameter,noaug,aug,aug150,aug960
model,yolo11n.pt,yolo11n.pt,yolo11n.pt,D:\ml\runs\ssid9_aug_960\train\weights\last.pt
epochs,50,50,150,150
batch,8,8,8,8
imgsz,640,640,640,960
seed,42,42,42,42
device,0,0,0,0
workers,0,0,0,0
optimizer,auto,auto,auto,auto
lr0,0.01,0.01,0.01,0.01
lrf,0.01,0.01,0.01,0.01
momentum,0.937,0.937,0.937,0.937
weight_decay,0.0005,0.0005,0.0005,0.0005
warmup_epochs,3.0,3.0,3.0,3.0
patience,100,100,100,100
close_mosaic,0,10,10,10
amp,True,True,True,True
deterministic,True,True,True,True
hsv_h,0.0,0.015,0.015,0.015
hsv_s,0.0,0.7,0.7,0.7
hsv_v,0.0,0.4,0.4,0.4
degrees,0.0,0.0,0.0,0.0
translate,0.0,0.1,0.1,0.1
scale,0.0,0.5,0.5,0.5
shear,0.0,0.0,0.0,0.0
perspective,0.0,0.0,0.0,0.0
flipud,0.0,0.0,0.0,0.0
fliplr,0.0,0.5,0.5,0.5
bgr,0.0,0.0,0.0,0.0
mosaic,0.0,1.0,1.0,1.0
mixup,0.0,0.0,0.0,0.0
cutmix,0.0,0.0,0.0,0.0
copy_paste,0.0,0.0,0.0,0.0
** DIFFERS **,"model, epochs, imgsz, close_mosaic, hsv_h, hsv_s, hsv_v, translate, scale, fliplr, mosaic","model, epochs, imgsz, close_mosaic, hsv_h, hsv_s, hsv_v, translate, scale, fliplr, mosaic","model, epochs, imgsz, close_mosaic, hsv_h, hsv_s, hsv_v, translate, scale, fliplr, mosaic","model, epochs, imgsz, close_mosaic, hsv_h, hsv_s, hsv_v, translate, scale, fliplr, mosaic"
